artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
$pyda,0.000122,0.514,331240.0,0.899,0.0793,0.3670000000000001,-5.115,0.0602,174.028,0.266,58.0,7,1,1
$uicideBoy$,0.12812262295081964,0.7652459016393444,147549.44262295082,0.6417049180327874,0.038454471147541004,0.2011950819672132,-6.626918032786888,0.15591721311475404,119.80436065573772,0.29609590163934424,61.64754098360656,1,1,122
'Be More Chill' Ensemble,0.764,0.4970000000000001,164400.0,0.474,0.000223,0.453,-7.279,0.044,133.934,0.493,52.0,3,1,1
'In The Heights' Original Broadway Company,0.6365882352941177,0.541,301908.29411764705,0.4022823529411765,7.74823529411765e-06,0.1938235294117647,-9.405882352941175,0.1500058823529412,114.95252941176471,0.407764705882353,46.58823529411765,7,1,17
'Legally Blonde' Ensemble,0.6010833333333333,0.6135833333333333,291892.16666666674,0.4115,1.964666666666667e-05,0.21566666666666667,-11.200333333333333,0.4595833333333333,115.58,0.5031666666666667,48.16666666666666,8,1,12
'Legally Blonde' Greek Chorus,0.6044999999999999,0.7735000000000001,361780.0,0.3095,0.0,0.2222,-12.669,0.28900000000000003,105.7,0.5965,49.0,10,1,2
'Little Women' Original Broadway Cast,0.902,0.345,275360.0,0.325,0.00214,0.0721,-7.955,0.0354,90.03,0.168,42.0,1,1,2
'Til Tuesday,0.10555625000000002,0.5571250000000001,255213.5,0.6122499999999998,0.0233002525,0.1275875,-9.638125000000002,0.03215,103.08025,0.532625,35.125,0,1,16
((( O ))),0.847,0.41,311837.0,0.16899999999999998,0.0032700000000000003,0.117,-11.422,0.0485,89.494,0.208,66.0,3,1,2
(Con La Participación De Eros Ramazzotti),0.282,0.722,287600.0,0.628,0.0,0.125,-5.712999999999999,0.0522,143.922,0.561,43.0,0,1,2
(Con La Participación de Marc Anthony),0.5379999999999999,0.731,361440.0,0.794,2.39e-05,0.0736,-4.182,0.0408,88.00299999999999,0.873,44.0,5,1,2
(G)I-DLE,0.029966666666666662,0.718,194278.0,0.7643333333333334,9.4e-07,0.16333333333333333,-3.797333333333333,0.0552,129.99200000000002,0.44966666666666666,74.66666666666667,4,0,3
(Hed) P.E.,0.0116314,0.5892000000000002,253677.4,0.8792,2.0259999999999997e-06,0.17112000000000002,-5.2597999999999985,0.17214000000000002,134.9694,0.4270000000000001,45.8,2,1,10
*NSYNC,0.15675753846153845,0.642051282051282,237077.5128205128,0.7193205128205126,0.003624652307692304,0.2174230769230769,-6.0306923076923065,0.06715512820512821,114.68521794871796,0.6151282051282053,45.794871794871796,0,1,78
+44,0.012816450000000005,0.4515,205250.0,0.8832499999999999,2.4e-06,0.1507,-4.26175,0.07907499999999999,168.37124999999997,0.39125,43.75,2,1,8
-,0.466,0.446,316307.0,0.546,1.5399999999999998e-05,0.193,-7.022,0.045,125.961,0.376,55.0,10,0,2
...And You Will Know Us by the Trail of Dead,0.008409999999999999,0.255,273624.0,0.858,0.000355,0.513,-5.085,0.0694,144.653,0.237,35.0,7,1,2
...Bender,0.000155,0.542,226000.0,0.894,0.00104,0.116,-5.025,0.0537,119.128,0.336,42.0,1,1,2
03 Greedo,0.06932,0.7246,220595.2,0.6938,8e-07,0.16505999999999998,-5.021,0.05073999999999999,93.9078,0.4434,59.2,1,0,5
070 Shake,0.3751333333333334,0.68,303688.66666666674,0.637,2.32e-06,0.12426666666666668,-9.293666666666667,0.1089,112.67866666666669,0.3456666666666666,63.0,4,0,3
10 Ft. Ganja Plant,0.10835,0.7875,256780.0,0.7725,0.8465,0.07735,-4.744,0.07285,142.97299999999996,0.8340000000000001,48.5,2,0,4
10 Years,0.0971232375,0.39925,208469.875,0.7516249999999999,0.00020406875,0.1507375,-5.071874999999999,0.0486125,147.91549999999995,0.318875,47.75,6,1,16
"10,000 Maniacs",0.1922949999999999,0.5814545454545456,240081.7272727273,0.5603909090909093,0.008825840454545457,0.25349090909090904,-12.977181818181812,0.041177272727272736,118.97309090909096,0.5717727272727272,36.77272727272727,9,1,44
100 gecs,0.2515,0.6695,120538.0,0.5660000000000001,0.0,0.377,-7.246,0.138,91.691,0.7689999999999999,63.5,6,1,2
101 Strings Orchestra,0.6088333333333333,0.25486666666666663,178029.83333333337,0.3733333333333333,0.7838333333333329,0.17266666666666672,-13.427833333333336,0.03983333333333334,96.9241666666667,0.35253333333333337,26.16666666666667,9,1,12
1017 Eskimo,0.293,0.8959999999999999,193776.0,0.615,0.0,0.122,-9.326,0.326,140.04,0.89,62.0,6,0,2
10cc,0.2626047619047619,0.5509523809523807,293338.5238095238,0.5470476190476189,0.005951061904761905,0.14787619047619044,-10.779809523809526,0.061561904761904776,118.9217142857143,0.5345714285714285,41.19047619047619,9,1,42
11/5,0.27,0.929,182373.0,0.6609999999999999,1.52e-06,0.0879,-6.794,0.171,114.973,0.708,37.0,1,0,2
112,0.1583938181818182,0.666072727272727,274580.8545454545,0.5204363636363636,0.00014367200000000002,0.14321272727272727,-8.024036363636364,0.09762363636363636,116.84376363636366,0.5327999999999999,48.32727272727273,0,1,55
11:11,0.174,0.478,252540.0,0.555,1.1e-05,0.103,-7.6,0.111,128.72799999999998,0.139,57.0,5,0,2
12 Pianists,0.991,0.414,137733.0,0.0187,0.892,0.0513,-39.385,0.0557,74.477,0.195,52.0,7,1,2
12 Stones,0.08026649999999999,0.3858333333333333,204280.16666666663,0.8888333333333334,2.733333333333333e-06,0.2492333333333333,-3.886999999999999,0.0693,138.6921666666667,0.4506666666666667,50.33333333333334,5,1,12
1422,0.67,0.4663333333333333,42615.0,0.8746666666666667,0.11756823,0.391,-4.884,0.21663333333333326,98.25366666666667,0.6583333333333333,36.0,7,0,6
1776 Ensemble,0.8915,0.5894999999999999,193206.5,0.4025,0.0,0.4725,-11.3485,0.172,97.4035,0.5940000000000001,22.5,8,1,2
1776 Orchestra,0.08,0.7390000000000001,113493.0,0.518,0.865,0.0917,-15.621,0.0979,120.939,0.222,19.0,11,1,1
1788-L,0.0739,0.522,172344.0,0.539,0.0,0.0664,-5.7410000000000005,0.0418,95.97,0.139,46.0,1,0,1
18 Carat Affair,0.0318,0.599,98038.0,0.852,0.747,0.119,-7.575,0.0629,99.12,0.87,48.0,7,1,2
1910 Fruitgum Company,0.4185,0.757,140750.0,0.60525,0.0007778500000000001,0.12425,-9.72575,0.044725,128.4975,0.8995,24.75,9,1,8
1986 Omega Tribe,0.37801666666666667,0.6869999999999999,266824.33333333326,0.6208333333333333,0.004299419999999999,0.15556666666666666,-13.057166666666667,0.03243333333333333,123.03716666666666,0.8058333333333333,37.333333333333336,11,0,12
1way Frank,0.735,0.7829999999999999,170867.0,0.38,1.58e-06,0.158,-8.507,0.0974,99.802,0.84,56.0,10,0,2
2 Brothers On The 4th Floor,0.00328,0.701,263163.0,0.979,0.308,0.416,-4.8610000000000015,0.048,134.013,0.612,62.0,7,0,2
2 Chainz,0.11121448979591836,0.7710918367346944,253278.40816326533,0.6424183673469387,0.0006208470408163262,0.20355510204081648,-6.024755102040817,0.22056530612244907,125.02639795918371,0.4502571428571428,57.94897959183673,1,1,98
2 Crows,0.00147,0.588,183554.0,0.7879999999999999,2.09e-05,0.378,-5.5820000000000025,0.0341,96.007,0.382,0.0,7,1,2
2 Guys n the Parque,0.0717,0.8140000000000001,93600.0,0.879,0.0,0.0401,-5.416,0.12,120.113,0.962,48.0,11,0,2
2 Hyped Brothers & A Dog,0.0782,0.906,338533.0,0.382,3.21e-05,0.113,-13.632,0.282,126.073,0.63,27.0,9,0,2
2 In A Room,0.0718,0.7809999999999999,244133.0,0.838,5.42e-06,0.0381,-13.943,0.0494,122.819,0.8490000000000001,29.0,2,1,2
2 LIVE CREW,0.05527785714285712,0.8840952380952375,229711.7142857143,0.6518571428571431,0.008597384761904761,0.404295238095238,-11.543666666666667,0.20082857142857136,126.13866666666664,0.6218571428571428,36.23809523809524,7,1,42
2 Pistols,0.0043100000000000005,0.517,274053.0,0.747,0.0,0.345,-6.191,0.105,134.058,0.271,52.0,10,0,1
2 Unlimited,0.027919166666666672,0.7216666666666667,247916.0,0.9241666666666668,0.1390149,0.10303333333333337,-11.458166666666667,0.05975,129.4381666666667,0.7163333333333334,49.0,6,1,12
2* Sweet,0.0348,0.7879999999999999,1428097.0,0.687,2.03e-05,0.14800000000000002,-13.304,0.152,102.345,0.897,45.0,1,1,2
20 Fingers,0.0009065,0.8515,253013.0,0.82,0.33845000000000003,0.11065,-8.8545,0.0541,127.001,0.7765,50.0,0,1,2
20/20,0.000236,0.458,257733.0,0.541,0.00183,0.0371,-12.130999999999998,0.0485,133.57299999999998,0.5770000000000001,24.0,2,1,2
2002,0.905,0.22899999999999998,267840.33333333326,0.15500000000000005,0.8523333333333333,0.10526666666666668,-19.014333333333333,0.03553333333333333,114.31200000000001,0.06333333333333334,47.33333333333334,7,1,6
2014 ATHINAIKI DISCOGRAFIKI,0.995,0.501,189453.0,0.341,0.0117,0.418,-11.514,0.0814,109.956,0.621,0.0,2,1,2
20th Century Fox Studio Orchestra,0.831,0.3466666666666667,101480.33333333331,0.326,0.8103333333333333,0.33676666666666666,-13.196,0.03693333333333333,100.02433333333332,0.6326666666666667,0.0,5,1,6
21 Savage,0.1237767341772152,0.7918860759493672,225374.55696202532,0.551607594936709,0.015091409493670884,0.17880759493670892,-7.41145569620253,0.2842911392405064,124.41951898734176,0.33221645569620256,66.20253164556962,1,1,79
"22, Little Red, Tangle Eye & Hard Hair",0.948,0.789,278082.0,0.35200000000000004,0.000778,0.0867,-9.337,0.66,139.616,0.659,16.0,8,1,1
22Gz,0.281,0.83,190746.0,0.574,0.0,0.124,-6.892,0.701,143.892,0.5379999999999999,70.0,11,1,2
24 Horas,0.206,0.8140000000000001,230267.0,0.68,0.0,0.101,-6.928,0.043,126.976,0.963,46.0,7,0,2
24hrs,0.05980000000000001,0.5405,197806.5,0.74,0.0,0.12435,-5.4345,0.18005000000000002,117.9925,0.34,67.5,1,1,4
24kGoldn,0.11826941176470593,0.7315882352941177,163177.41176470587,0.6812352941176469,1.627058823529412e-06,0.15999999999999998,-5.403823529411764,0.12376470588235294,131.31911764705882,0.5668235294117645,69.47058823529412,0,0,17
27CLUB,0.428,0.514,155893.0,0.7120000000000001,8.77e-06,0.112,-7.2810000000000015,0.334,76.393,0.487,70.0,2,1,2
2Baba,0.0158,0.591,283000.0,0.602,0.0,0.278,-7.483,0.386,147.957,0.355,0.0,1,1,2
2CELLOS,0.603,0.5864999999999999,253046.5,0.499,0.4298400000000001,0.149,-8.705,0.04035,122.251,0.6005,58.5,2,1,4
2KBABY,0.4113333333333333,0.721,118400.0,0.4666666666666667,0.0,0.15133333333333335,-10.867333333333333,0.4776666666666667,137.79333333333335,0.5846666666666667,67.33333333333333,2,1,6
2NE1,0.0076700000000000015,0.8190000000000001,208731.0,0.8440000000000001,0.00834,0.056,-3.739,0.038,127.997,0.687,64.0,0,1,2
2Pac,0.13185150853242314,0.7769078498293513,262092.32081911265,0.7081774744027309,0.007405551774744028,0.2241467576791808,-7.006529010238911,0.22346348122866894,107.15816382252571,0.6101433447098976,49.08532423208191,1,1,293
2Pac a.k.a. Makaveli,0.0938,0.893,293840.0,0.5760000000000001,0.0,0.0758,-7.5139999999999985,0.35700000000000004,94.307,0.861,42.0,1,1,1
2forwOyNE,0.0474,0.923,187267.0,0.5329999999999999,4.12e-06,0.0925,-5.627000000000002,0.0883,97.958,0.6890000000000001,62.0,5,0,2
2nd Chapter Of Acts,0.6054999999999999,0.4330000000000001,169067.0,0.3765,0.0,0.1148,-11.488499999999998,0.0277,89.17299999999999,0.4420000000000001,28.5,1,1,4
2nd Generation Outlawz,0.0013,0.516,247060.0,0.452,2.69e-06,0.128,-8.204,0.0322,130.069,0.0412,0.0,1,1,1
2nd II None,0.03820444444444445,0.9122222222222224,225997.1111111111,0.5361111111111111,1.1244444444444444e-06,0.2551111111111111,-12.021222222222226,0.18837777777777776,103.67533333333333,0.8004444444444444,35.333333333333336,6,0,9
2nd South Carolina String Band,0.5895,0.5515,345866.5,0.639,8.15e-07,0.2195,-7.9145,0.046250000000000006,103.9895,0.6224999999999999,39.5,2,1,4
3 Doors Down,0.03847817454545454,0.503,232900.1090909091,0.7926727272727272,0.00612995145454545,0.15785090909090913,-5.679090909090909,0.037990909090909096,128.84419999999997,0.4451818181818182,49.72727272727273,7,1,55
3 Inches Of Blood,6.4e-05,0.3670000000000001,271160.0,0.961,0.00119,0.11,-3.1860000000000004,0.0807,97.0,0.237,46.0,9,0,2
3 in One,0.479,0.599,202857.0,0.471,0.0,0.133,-8.552,0.0945,121.11,0.547,0.0,6,1,2
3-2,0.155,0.792,239733.0,0.602,0.0,0.08800000000000001,-8.892999999999997,0.317,92.017,0.747,32.0,1,1,2
30 Roc,0.0932,0.616,175252.0,0.537,0.000157,0.107,-7.7189999999999985,0.139,122.65,0.465,68.0,8,0,2
311,0.022413531147540973,0.6188688524590163,205666.0,0.8200655737704922,0.012122383442622956,0.16602459016393445,-7.354754098360658,0.06582459016393448,132.57375409836072,0.6162065573770488,40.327868852459034,9,1,122
35MM: A Musical Exhibition Original Cast,0.113,0.772,289587.0,0.615,0.0,0.0581,-7.983,0.0633,119.962,0.7040000000000001,49.0,8,0,2
36 Crazyfists,0.00119,0.585,198600.0,0.931,2.46e-05,0.115,-4.843,0.0847,160.079,0.8140000000000001,52.0,0,1,2
38 Special,0.0328747711111111,0.5251555555555554,256027.8,0.6304,0.025745799333333333,0.12511777777777774,-11.429977777777774,0.03260222222222224,125.27055555555555,0.7732666666666664,32.28888888888889,0,1,90
3BallMTY,0.213,0.792,193533.0,0.916,3.11e-05,0.061,-5.01,0.0685,131.895,0.966,57.0,9,1,1
3LAU,0.1013,0.5335000000000001,201705.0,0.7705,3.46e-05,0.227,-4.26,0.0566,115.00200000000001,0.268,58.0,3,1,2
3LW,0.0558,0.7177999999999999,272055.8,0.7196,2.168e-05,0.15058,-5.9238,0.11084000000000001,129.6848,0.6678000000000001,49.2,6,0,5
3OH!3,0.020766,0.6837500000000001,193600.85,0.7931999999999999,4.4469e-05,0.3171500000000001,-3.92975,0.17853000000000002,125.77265,0.5496499999999999,53.7,5,1,20
3T,0.3496666666666666,0.6696666666666666,320777.66666666674,0.43566666666666665,0.00015096666666666666,0.33066666666666666,-11.056000000000004,0.0342,113.09100000000001,0.4793333333333334,45.33333333333334,10,0,3
3X Krazy,0.0165,0.7190000000000001,358467.0,0.6859999999999999,0.0,0.236,-4.169,0.0829,95.19,0.49,47.0,10,0,2
3rd Bass,0.099428,0.7996000000000001,272712.6,0.6826000000000001,8.380000000000003e-05,0.14053999999999994,-13.5126,0.2478,124.1922,0.5268,30.0,2,1,10
3rd Strike,0.0075,0.444,249827.0,0.8590000000000001,4.320000000000001e-05,0.24,-4.962,0.0484,99.655,0.394,38.0,2,1,2
3年E組うた担(渚&茅野&業&磯貝&前原),0.0389,0.591,248800.0,0.945,0.0,0.214,-2.483,0.0675,180.048,0.96,60.0,0,1,2
4 Non Blondes,0.18415,0.5286666666666666,239673.33333333328,0.57,5.1e-07,0.12663333333333335,-10.100499999999998,0.03825,117.87649999999998,0.44616666666666654,48.0,7,1,12
4 P.M.,0.7490000000000001,0.363,162093.0,0.388,0.0,0.363,-8.607999999999999,0.034,76.09899999999998,0.348,37.0,11,0,2
4 Skins,0.0104,0.2655,158007.0,0.9295,2.605e-06,0.6154999999999999,-4.7330000000000005,0.125,154.4345,0.4985000000000001,35.5,11,0,4
4 Strings,0.00213,0.617,190427.0,0.79,0.0455,0.159,-6.983,0.0365,138.004,0.267,56.0,3,0,2
40 Thevz,0.0102,0.76,311040.0,0.585,0.000476,0.308,-7.307,0.161,91.179,0.455,52.0,3,1,2
42 Dugg,0.2332,0.8775999999999999,175701.0,0.5650000000000001,0.0,0.09664,-5.2062,0.31599999999999995,127.28759999999996,0.4086,71.0,10,0,5
420 Unlovable,0.34700000000000003,0.954,166635.0,0.58,1.87e-06,0.134,-8.924,0.3670000000000001,128.003,0.48,60.0,7,1,1
42nd Street Ensemble,0.8240000000000001,0.343,349338.0,0.434,0.00236303,0.17056666666666664,-13.260666666666665,0.2211666666666668,111.19233333333334,0.31000000000000005,17.333333333333332,0,1,6
433,0.00607,0.6609999999999999,165000.0,0.942,0.44,0.0778,-3.75,0.282,127.947,0.203,64.0,10,0,2
45 Grave,0.021413,0.4383333333333334,177489.0,0.7636666666666666,0.23566928,0.12070000000000004,-8.350666666666667,0.07573333333333332,149.72866666666667,0.5576666666666666,27.66666666666667,10,0,6
4B,0.00441,0.63,224052.0,0.851,0.0218,0.0939,-4.61,0.319,150.054,0.573,54.0,1,1,1
4Him,0.2823333333333333,0.4763333333333333,290636.33333333326,0.4873333333333333,0.0015737833333333336,0.11133333333333334,-10.056333333333336,0.03013333333333333,111.23966666666668,0.31166666666666665,32.666666666666664,4,1,6
4Minute,0.00589,0.54,192400.0,0.929,4.01e-06,0.424,-2.6460000000000004,0.278,176.023,0.624,61.0,7,1,2
5 Seconds of Summer,0.05982723404255321,0.5467553191489358,197841.24468085106,0.8077553191489362,1.1071702127659571e-05,0.17727021276595745,-4.4014574468085135,0.08325319148936171,137.15309574468077,0.5310000000000002,61.92553191489362,2,1,94
50 Cent,0.12739586826347302,0.6924850299401202,233712.45508982035,0.761335329341317,0.0005839498802395213,0.19189401197604788,-4.1007125748503,0.2641730538922157,105.66044910179636,0.5887005988023949,52.197604790419156,1,1,167
504 Boyz,0.011873333333333336,0.8236666666666665,213458.33333333328,0.6523333333333333,0.0,0.2746666666666666,-7.742333333333333,0.26533333333333337,140.03566666666669,0.4596666666666666,43.66666666666666,7,1,6
520Hz,0.996,0.0,197680.0,0.0197,0.996,0.104,-47.19,0.0,0.0,0.0,56.0,1,1,2
54-40,0.29100000000000004,0.669,166827.0,0.645,9.4e-06,0.132,-11.036,0.0305,119.179,0.929,45.0,0,1,2
5th Ward Boyz,0.158,0.8420000000000001,352173.0,0.336,0.0,0.256,-8.227,0.379,78.001,0.599,36.0,4,0,1
6 Dogs,0.224,0.748,171907.0,0.66,0.053,0.101,-4.704,0.0487,137.033,0.328,68.0,6,1,2
645AR,0.038,0.8640000000000001,91200.0,0.613,0.0,0.123,-6.505,0.7809999999999999,150.067,0.16899999999999998,68.0,2,1,2
69 Boyz,0.04509200000000002,0.8576,261191.8,0.715,0.00346,0.16568,-11.049199999999995,0.18954,132.8056,0.6628000000000001,39.6,9,0,10
6LACK,0.32181647058823537,0.6363725490196079,216116.82352941172,0.50921568627451,0.002125963921568628,0.1191803921568628,-8.32435294117647,0.1682235294117647,118.1979803921568,0.31049411764705875,65.11764705882354,0,1,51
6cyclemind,0.443,0.7175,295993.0,0.4735,0.00158574,0.131,-8.5365,0.03095,97.2875,0.47,57.5,3,1,4
6ix9ine,0.10076666666666664,0.7369333333333334,159113.53333333333,0.6750666666666665,3.241566666666666e-05,0.1473866666666667,-5.5027333333333335,0.23430333333333336,129.4227,0.4546333333333333,69.86666666666666,1,1,30
7 Aurelius,0.128,0.768,214560.0,0.725,0.0,0.122,-6.5429999999999975,0.292,98.963,0.794,51.0,11,1,2
7 Seconds,1.18e-05,0.451,189200.0,0.908,0.008879999999999999,0.155,-11.616,0.0627,103.893,0.398,30.0,1,0,2
7 Year Bitch,9.03e-06,0.349,167333.0,0.7090000000000001,0.0095,0.147,-12.339,0.0336,114.581,0.708,40.0,9,0,2
702,0.19722222222222224,0.74,255970.2222222223,0.6112222222222221,0.0043241266666666665,0.16442222222222222,-8.152000000000001,0.06581111111111111,99.07011111111113,0.5900000000000001,51.88888888888889,10,1,9
707,0.0645,0.6709999999999999,285533.0,0.7070000000000001,0.0163,0.057,-11.549,0.0336,125.829,0.599,26.0,9,0,2
7eventh Time Down,0.00964,0.58,176616.0,0.884,1.5e-06,0.116,-4.3580000000000005,0.0381,105.927,0.464,54.0,6,1,2
808 State,0.007925,0.55,287607.0,0.7530000000000001,0.5615,0.09715,-12.2185,0.0538,128.4685,0.517,45.5,8,1,4
88-Keys,0.13795,0.649,195875.5,0.6435,5.35e-07,0.42100000000000004,-5.6370000000000005,0.28,122.3495,0.5,54.5,1,1,2
88GLAM,0.0166,0.764,180813.0,0.672,1.06e-06,0.103,-4.274,0.0655,150.02100000000004,0.594,74.0,6,0,2
88rising,0.38932857142857147,0.5999999999999999,200515.57142857145,0.5301428571428571,0.00021260142857142857,0.17541428571428572,-8.089,0.10104285714285714,119.28357142857142,0.3888571428571429,67.14285714285714,7,1,7
8Ball,0.06890714285714286,0.7885,280319.14285714284,0.6619285714285715,0.0005572821428571428,0.2342142857142857,-6.577428571428569,0.1915357142857143,119.92014285714286,0.5388571428571429,41.57142857142857,1,1,14
8Ball & MJG,0.04621600000000002,0.7445999999999998,304293.26666666666,0.6966666666666668,0.0,0.2445733333333333,-6.984466666666664,0.2288933333333333,132.35866666666664,0.5769999999999998,39.93333333333333,11,1,15
9 Days Wonder,0.07327544166666666,0.4525833333333332,299851.08333333326,0.6310833333333332,0.155886675,0.1821083333333334,-11.548416666666665,0.04173333333333334,119.38816666666666,0.5021666666666665,0.0,9,1,24
904TEZZO,0.463,0.6970000000000001,96016.0,0.48,0.0085,0.378,-9.856,0.0493,119.951,0.17600000000000002,62.0,10,0,2
90sFlav,0.952,0.748,126250.0,0.265,0.917,0.0866,-12.074000000000002,0.229,77.009,0.14,70.0,8,0,2
93FEETOFSMOKE,0.139,0.816,148140.0,0.5770000000000001,0.0,0.0827,-5.9979999999999976,0.41,171.028,0.459,68.0,1,1,1
94 East,0.179,0.7440000000000001,340440.0,0.797,0.0103,0.139,-8.867,0.0377,94.801,0.954,31.0,11,0,2
98º,0.3320333333333334,0.6227222222222223,250988.1111111111,0.5854444444444442,3.944444444444445e-07,0.1166388888888889,-8.166611111111113,0.04256111111111112,103.3227777777778,0.4311666666666667,49.83333333333334,10,1,18
99 Neighbors,0.545,0.8170000000000001,231602.0,0.487,0.0,0.336,-6.585,0.474,70.949,0.65,61.0,0,1,1
99 Percent,0.0729,0.7859999999999999,157165.0,0.8540000000000001,1.63e-06,0.179,-4.247,0.0523,105.078,0.687,60.0,2,1,2
999,0.030186666666666667,0.5960000000000001,217075.33333333328,0.6309999999999999,0.28266758333333336,0.1723,-9.655333333333337,0.0489,132.09066666666666,0.5146666666666667,33.333333333333336,2,1,6
9lokknine,0.033133333333333334,0.8643333333333335,181220.0,0.544,0.0,0.1746,-8.401333333333334,0.2726666666666667,90.15666666666664,0.5209999999999999,71.33333333333333,0,0,6
9tails,0.404,0.711,217182.0,0.545,0.0,0.122,-6.81,0.0322,108.02,0.345,67.0,11,1,2
9th Wonder,0.23200000000000004,0.685,259060.0,0.518,0.00075566,0.13955,-8.679,0.228,90.4195,0.5295,49.5,7,1,4
? & The Mysterians,0.2126336363636364,0.6305454545454545,145557.63636363635,0.6926363636363637,0.20765986272727274,0.1497818181818182,-8.167636363636364,0.0419,115.79354545454548,0.806181818181818,24.181818181818183,2,1,22
?uestlove,0.198,0.885,307120.0,0.598,0.0,0.384,-6.6629999999999985,0.3720000000000001,95.402,0.779,41.0,6,1,2
A,0.000819,0.259,223267.0,0.899,0.0,0.512,-5.948,0.0793,176.68599999999995,0.379,48.0,2,1,2
A Boogie Wit da Hoodie,0.2630172549019608,0.7114803921568633,192163.41176470587,0.6233039215686271,1.2584313725490196e-06,0.1618480392156862,-6.769333333333331,0.2187441176470588,120.12834313725484,0.4987745098039216,65.23529411764707,5,0,102
A Certain Ratio,0.132125,0.695,344633.0,0.933,0.4573,0.07475,-7.848000000000001,0.06309999999999999,125.9155,0.5820000000000001,28.5,2,1,4
A Change of Pace,0.0011,0.528,183893.0,0.946,1.4e-06,0.0655,-4.874,0.0704,133.07399999999998,0.718,43.0,9,1,2
A Day To Remember,0.025386785185185192,0.4001111111111109,207685.92592592593,0.9187407407407404,8.732481481481482e-05,0.2866444444444444,-4.4358518518518535,0.11256481481481484,144.30462962962963,0.4547037037037036,53.0925925925926,0,1,108
A Fine Frenzy,0.947,0.5489999999999999,268800.0,0.24,0.0,0.106,-7.778,0.0338,119.58,0.16699999999999998,53.0,0,1,2
A Flock Of Seagulls,0.02664142000000001,0.5104499999999998,248003.4,0.7368500000000002,0.4476904999999999,0.20853000000000002,-9.126299999999997,0.03744499999999999,145.3544,0.6901999999999997,42.5,2,1,40
A Foot In Coldwater,0.0126,0.444,311867.0,0.5920000000000001,0.00269,0.108,-7.775,0.039,100.811,0.253,32.0,2,1,2
A Great Big World,0.6257999999999999,0.4695,243813.5,0.374625,0.00020144249999999995,0.113625,-8.296750000000001,0.043625,119.454125,0.22724999999999995,58.25,2,1,8
A Guy Called Gerald,0.03,0.6829999999999999,267107.0,0.789,0.0105,0.0724,-9.034,0.0602,119.504,0.657,46.0,2,1,2
A Heart Beats,0.8540000000000001,0.507,146173.0,0.255,0.0,0.172,-11.857,0.0651,97.231,0.438,37.0,7,1,2
A Jam Session At Victor,0.955,0.7170000000000001,178907.0,0.17800000000000002,0.519,0.0663,-15.267,0.0607,84.079,0.479,2.0,3,1,2
